Title,Skill,Title,Hot Technology,
Chief Executives,Adobe Systems Adobe Acrobat,Document management software,Y,
Chief Executives,AdSense Tracker,Data base user interface and query software,N,
Chief Executives,Atlassian JIRA,Content workflow software,Y,
Chief Executives,Blackbaud The Raiser's Edge,Customer relationship management CRM software,Y,
Chief Executives,ComputerEase Construction Accounting,Accounting software,N,
Chief Executives,Database reporting software,Data base reporting software,N,
Chief Executives,Databox,Data base user interface and query software,N,
Chief Executives,Email software,Electronic mail software,N,
Chief Executives,Enterprise resource planning ERP software,Enterprise resource planning ERP software,Y,
Chief Executives,Exact Software Macola ES Labor Performance,Time accounting software,N,
Chief Executives,Extensible markup language XML,Enterprise application integration software,Y,
Chief Executives,Fund accounting software,Accounting software,Y,
Chief Executives,Graphic presentation software,Graphics or photo imaging software,N,
Chief Executives,Halogen e360,Human resources software,N,
Chief Executives,Halogen ePraisal,Human resources software,N,
Chief Executives,HCSS HeavyBid,Project management software,N,
Chief Executives,HCSS HeavyJob,Project management software,N,
Chief Executives,Human resource information system HRIS,Human resources software,N,
Chief Executives,Infor SSA Human Capital Management,Human resources software,N,
Chief Executives,Intuit QuickBooks,Accounting software,Y,
Chief Executives,Listserv software,Electronic mail software,N,
Chief Executives,Lyris HQ Web-Analytics Solution,Analytical or scientific software,N,
Chief Executives,Microsoft Access,Data base user interface and query software,Y,
Chief Executives,Microsoft Dynamics AX,Enterprise resource planning ERP software,Y,
Chief Executives,Microsoft Dynamics GP,Enterprise resource planning ERP software,Y,
Chief Executives,Microsoft Excel,Spreadsheet software,Y,
Chief Executives,Microsoft FRx,Financial analysis software,N,
Chief Executives,Microsoft Office,Office suite software,Y,
Chief Executives,Microsoft Outlook,Electronic mail software,Y,
Chief Executives,Microsoft PowerPoint,Presentation software,Y,
Chief Executives,Microsoft Project,Project management software,Y,
Chief Executives,Microsoft Publisher,Desktop publishing software,N,
Chief Executives,Microsoft SharePoint,Project management software,Y,
Chief Executives,Microsoft Word,Word processing software,Y,
Chief Executives,Nedstat Sitestat,Analytical or scientific software,N,
Chief Executives,Norchard Solutions Succession Wizard,Time accounting software,N,
Chief Executives,Online advertising reporting software,Analytical or scientific software,N,
Chief Executives,Oracle E-Business Suite,Enterprise resource planning ERP software,Y,
Chief Executives,Oracle PeopleSoft,Enterprise resource planning ERP software,Y,
Chief Executives,Oracle Siebel Server Sync,Customer relationship management CRM software,N,
Chief Executives,PHP: Hypertext Preprocessor,Web platform development software,Y,
Chief Executives,Relational database management software,Data base management system software,Y,
Chief Executives,Sage 50 Accounting,Accounting software,N,
Chief Executives,SAP,Enterprise resource planning ERP software,Y,
Chief Executives,Structured query language SQL,Data base user interface and query software,Y,
Chief Executives,Web browser software,Internet browser software,N,
Chief Sustainability Officers,Email software,Electronic mail software,N,
Chief Sustainability Officers,Microsoft Access,Data base user interface and query software,Y,
Chief Sustainability Officers,Microsoft Dynamics GP,Enterprise resource planning ERP software,Y,
Chief Sustainability Officers,Microsoft Excel,Spreadsheet software,Y,
Chief Sustainability Officers,Microsoft Office,Office suite software,Y,
Chief Sustainability Officers,Microsoft PowerPoint,Presentation software,Y,
